time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-02 11:03:10.152258,25.22%,366.9MiB,0.84%,482.7MiB,4.41%,1.024GiB,0.44%,39.39MiB,6.24%,569.7MiB,17.26%,611.9MiB
2023-11-02 11:03:12.308669,33.38%,366.4MiB,0.98%,482.8MiB,1.96%,1.024GiB,0.10%,39.39MiB,1.41%,569.7MiB,11.82%,612.8MiB
2023-11-02 11:03:14.581307,4.51%,366.4MiB,0.00%,482.9MiB,1.10%,1.024GiB,0.16%,39.39MiB,1.69%,569.7MiB,25.78%,618.8MiB
2023-11-02 11:03:16.758270,6.54%,366.8MiB,1.64%,482.9MiB,5.49%,1.024GiB,0.18%,39.4MiB,3.21%,569.7MiB,8.08%,619.7MiB
2023-11-02 11:03:19.068332,7.21%,366.6MiB,0.71%,483.2MiB,8.17%,1.024GiB,0.17%,39.65MiB,2.63%,569.7MiB,9.59%,617.4MiB
2023-11-02 11:03:21.144414,5.85%,366.9MiB,0.29%,483.3MiB,2.22%,1.024GiB,0.21%,39.4MiB,1.69%,569.8MiB,9.73%,618.7MiB
2023-11-02 11:03:23.250436,11.99%,366.6MiB,0.00%,482.9MiB,1.12%,1.025GiB,0.13%,39.4MiB,1.89%,569.8MiB,13.18%,619.1MiB
2023-11-02 11:03:25.416939,5.45%,366.9MiB,1.20%,483.1MiB,6.40%,1.025GiB,0.15%,39.4MiB,7.17%,569.8MiB,18.39%,619.5MiB
2023-11-02 11:03:27.637603,3.54%,366.6MiB,1.23%,483.5MiB,2.81%,1.025GiB,0.32%,39.4MiB,1.99%,569.8MiB,15.57%,620.9MiB
2023-11-02 11:03:29.983024,28.23%,366.8MiB,0.38%,483MiB,5.41%,1.025GiB,0.11%,39.4MiB,3.61%,569.9MiB,13.30%,621.7MiB
2023-11-02 11:03:32.224313,5.21%,366.8MiB,0.76%,483.2MiB,2.12%,1.025GiB,0.13%,39.4MiB,10.64%,570MiB,14.45%,622.9MiB
2023-11-02 11:03:34.319261,9.96%,366.9MiB,0.67%,483.4MiB,10.02%,1.025GiB,0.15%,39.41MiB,2.24%,570.2MiB,7.20%,623MiB
2023-11-02 11:03:36.606516,6.37%,367.2MiB,2.07%,483MiB,3.87%,1.025GiB,0.12%,39.41MiB,1.41%,570MiB,5.11%,623.7MiB
2023-11-02 11:03:38.790563,27.62%,366.9MiB,0.00%,483.3MiB,0.81%,1.025GiB,0.14%,39.41MiB,1.84%,570MiB,19.24%,624.3MiB
2023-11-02 11:03:41.099424,12.34%,367MiB,0.36%,483.5MiB,1.88%,1.025GiB,0.20%,39.41MiB,2.53%,570MiB,6.68%,624.5MiB
2023-11-02 11:03:43.226992,11.59%,367.1MiB,1.48%,483MiB,3.07%,1.025GiB,0.19%,39.41MiB,3.92%,570MiB,14.14%,625.4MiB
2023-11-02 11:03:45.386976,16.65%,367.1MiB,1.04%,483.2MiB,12.12%,1.025GiB,1.33%,39.41MiB,4.55%,570MiB,113.20%,655.2MiB
2023-11-02 11:03:47.573396,4.93%,367.2MiB,1.35%,483MiB,6.65%,1.025GiB,0.18%,39.41MiB,2.06%,570.1MiB,16.32%,655.4MiB
2023-11-02 11:03:49.909690,3.83%,367.2MiB,0.80%,483.2MiB,14.08%,1.025GiB,0.13%,39.41MiB,4.06%,570.1MiB,14.36%,652.5MiB
