time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-03 13:19:55.745529,5.13%,361.5MiB,0.00%,470.1MiB,10.12%,1023MiB,0.14%,34.13MiB,1.56%,489.9MiB,9.82%,613.7MiB
2023-11-03 13:19:57.917780,21.24%,365.2MiB,2.20%,469.7MiB,13.07%,1023MiB,0.12%,34.13MiB,1.59%,489.9MiB,9.10%,614.3MiB
2023-11-03 13:20:00.117304,29.33%,365.1MiB,0.21%,470.2MiB,1.00%,1023MiB,0.15%,34.13MiB,6.32%,489.9MiB,14.43%,614.8MiB
2023-11-03 13:20:02.294413,4.05%,361.6MiB,0.32%,470.4MiB,2.19%,1023MiB,0.12%,34.13MiB,5.63%,490MiB,9.96%,612.5MiB
2023-11-03 13:20:04.499082,4.53%,361.9MiB,0.00%,469.8MiB,6.36%,1023MiB,0.17%,34.14MiB,1.78%,490MiB,18.02%,613.3MiB
2023-11-03 13:20:06.574208,40.46%,361.9MiB,1.23%,469.9MiB,15.79%,1023MiB,0.16%,34.14MiB,2.81%,490MiB,9.80%,614.1MiB
2023-11-03 13:20:08.699682,5.97%,361.7MiB,5.00%,469.9MiB,3.40%,1023MiB,0.21%,34.14MiB,4.85%,490MiB,9.71%,614.8MiB
2023-11-03 13:20:10.963737,5.73%,361.7MiB,0.29%,469.7MiB,1.14%,1023MiB,0.21%,34.14MiB,52.51%,503.6MiB,59.84%,625.5MiB
2023-11-03 13:20:13.073283,3.94%,361.7MiB,0.00%,469.8MiB,1.16%,1023MiB,0.14%,34.14MiB,1.47%,503.7MiB,45.41%,644.1MiB
2023-11-03 13:20:15.240359,5.27%,361.7MiB,0.41%,470.1MiB,1.00%,1023MiB,0.14%,34.14MiB,2.59%,503.7MiB,93.61%,647.1MiB
2023-11-03 13:20:17.511065,4.76%,361.7MiB,0.47%,470.2MiB,1.74%,1023MiB,0.17%,34.14MiB,2.44%,503.7MiB,14.12%,647.8MiB
2023-11-03 13:20:19.606436,6.11%,361.7MiB,0.00%,469.9MiB,0.73%,1023MiB,0.14%,34.14MiB,1.51%,503.7MiB,8.35%,648.9MiB
2023-11-03 13:20:21.819463,6.07%,361.7MiB,0.25%,470.1MiB,0.93%,1023MiB,0.15%,34.14MiB,16.19%,501.7MiB,22.80%,641.4MiB
2023-11-03 13:20:23.828111,3.76%,361.7MiB,3.33%,470.3MiB,3.41%,1023MiB,0.12%,34.15MiB,9.04%,501.7MiB,11.62%,642MiB
2023-11-03 13:20:26.011282,4.51%,361.7MiB,0.21%,470.4MiB,0.88%,1023MiB,0.13%,34.15MiB,1.68%,501.7MiB,7.22%,642.7MiB
2023-11-03 13:20:28.127086,4.41%,361.7MiB,0.00%,469.9MiB,10.72%,1023MiB,0.21%,34.15MiB,1.43%,502.1MiB,5.40%,643.5MiB
2023-11-03 13:20:30.255542,8.48%,361.8MiB,1.72%,470.4MiB,2.78%,1023MiB,0.15%,34.15MiB,4.35%,502.1MiB,6.99%,624.9MiB
2023-11-03 13:20:32.533618,7.22%,361.8MiB,9.21%,469.9MiB,2.33%,1023MiB,0.13%,34.15MiB,2.55%,502.2MiB,4.93%,625.8MiB
2023-11-03 13:20:34.626969,9.07%,361.8MiB,0.00%,470.2MiB,3.00%,1023MiB,0.14%,34.15MiB,1.53%,502.2MiB,11.01%,626.4MiB
2023-11-03 13:20:36.788821,9.32%,361.8MiB,0.26%,470.4MiB,1.00%,1023MiB,0.17%,34.15MiB,1.60%,502.2MiB,11.04%,627.4MiB
2023-11-03 13:20:39.030417,5.98%,361.8MiB,3.80%,470.2MiB,2.73%,1023MiB,0.17%,34.15MiB,2.62%,502.2MiB,23.77%,627.5MiB
2023-11-03 13:20:41.196643,5.95%,361.8MiB,0.75%,470.4MiB,2.03%,1023MiB,0.29%,34.16MiB,2.03%,502.2MiB,7.45%,627.9MiB
2023-11-03 13:20:43.310980,8.79%,361.8MiB,0.65%,470.5MiB,7.67%,1023MiB,0.14%,34.16MiB,1.65%,502.3MiB,9.31%,628.8MiB
2023-11-03 13:20:45.532208,13.25%,362.1MiB,0.24%,470.7MiB,0.77%,1023MiB,0.15%,34.16MiB,1.73%,502.3MiB,7.23%,629.2MiB
2023-11-03 13:20:47.777485,7.25%,361.9MiB,0.64%,470.9MiB,5.04%,1023MiB,0.24%,34.16MiB,3.18%,502.3MiB,16.73%,629.9MiB
2023-11-03 13:20:50.003156,4.95%,361.9MiB,0.00%,470.6MiB,0.61%,1023MiB,0.16%,34.16MiB,3.06%,502.5MiB,7.05%,630.5MiB
2023-11-03 13:20:52.165756,4.81%,361.9MiB,0.00%,470.8MiB,0.62%,1023MiB,0.12%,34.16MiB,4.10%,509.5MiB,97.73%,645.1MiB
2023-11-03 13:20:54.366781,4.13%,361.9MiB,2.32%,470.3MiB,2.74%,1023MiB,0.12%,34.16MiB,62.76%,510.3MiB,20.95%,653.5MiB
2023-11-03 13:20:56.518406,3.55%,361.9MiB,2.52%,470.5MiB,23.70%,1023MiB,0.15%,34.16MiB,3.80%,510.3MiB,13.31%,651.5MiB
2023-11-03 13:20:58.656903,3.50%,361.9MiB,1.54%,471.1MiB,4.21%,1023MiB,0.14%,34.16MiB,1.69%,510.3MiB,14.66%,652.1MiB
2023-11-03 13:21:00.764409,4.17%,361.9MiB,0.32%,470.5MiB,1.11%,1023MiB,0.16%,34.16MiB,3.57%,510.3MiB,18.71%,652.6MiB
2023-11-03 13:21:03.082090,5.31%,361.9MiB,0.53%,470.7MiB,2.21%,1023MiB,0.15%,34.17MiB,3.26%,510.4MiB,46.74%,667.2MiB
2023-11-03 13:21:05.265035,21.25%,362MiB,0.45%,471MiB,3.16%,1023MiB,0.18%,34.17MiB,3.50%,510.4MiB,7.91%,667.2MiB
2023-11-03 13:21:07.325818,5.50%,362.3MiB,0.00%,471.1MiB,2.45%,1023MiB,0.14%,34.17MiB,1.68%,510.4MiB,12.27%,667.2MiB
2023-11-03 13:21:09.540974,5.18%,362.3MiB,1.63%,470.8MiB,0.80%,1023MiB,0.13%,34.17MiB,1.81%,510.4MiB,6.19%,667.2MiB
2023-11-03 13:21:11.576337,9.81%,362.1MiB,0.68%,471MiB,4.86%,1023MiB,0.18%,34.17MiB,5.80%,510.5MiB,11.20%,647.1MiB
2023-11-03 13:21:13.665679,3.56%,362.1MiB,0.92%,471.2MiB,0.99%,1023MiB,0.11%,34.17MiB,1.78%,510.5MiB,12.52%,656.4MiB
2023-11-03 13:21:15.819756,9.84%,362.1MiB,0.38%,471.3MiB,1.00%,1023MiB,0.14%,34.17MiB,1.75%,510.5MiB,29.13%,649.4MiB
2023-11-03 13:21:17.955839,5.88%,362.1MiB,0.69%,470.6MiB,1.83%,1023MiB,0.15%,34.18MiB,3.18%,510.5MiB,10.97%,649.1MiB
2023-11-03 13:21:20.062563,5.24%,362.1MiB,0.00%,471.1MiB,0.62%,1023MiB,0.12%,34.18MiB,4.50%,510.5MiB,20.60%,649.2MiB
2023-11-03 13:21:22.293982,6.72%,362.1MiB,0.00%,471.2MiB,0.67%,1023MiB,0.13%,34.18MiB,4.95%,510.5MiB,9.66%,649.2MiB
2023-11-03 13:21:24.349981,5.21%,362.3MiB,0.62%,470.7MiB,1.60%,1023MiB,0.12%,34.18MiB,1.59%,510.5MiB,25.08%,649.2MiB
2023-11-03 13:21:26.551625,8.02%,362.4MiB,0.55%,470.9MiB,1.83%,1023MiB,0.36%,34.18MiB,10.82%,502.5MiB,8.97%,649.2MiB
2023-11-03 13:21:28.755945,7.17%,362.1MiB,2.33%,470.6MiB,1.98%,1023MiB,0.13%,34.18MiB,2.37%,502.5MiB,47.74%,651.3MiB
2023-11-03 13:21:30.978514,7.38%,362.1MiB,0.20%,470.8MiB,0.81%,1023MiB,0.13%,34.18MiB,3.64%,504.2MiB,12.35%,651.3MiB
2023-11-03 13:21:33.055694,4.03%,362.1MiB,0.68%,471MiB,2.55%,1023MiB,0.14%,34.18MiB,3.07%,504.5MiB,22.16%,651.2MiB
2023-11-03 13:21:35.200344,11.67%,362.1MiB,0.34%,471.2MiB,3.75%,1023MiB,0.28%,34.19MiB,1.64%,504.6MiB,12.67%,651.2MiB
2023-11-03 13:21:37.351398,10.20%,362.4MiB,0.00%,471.3MiB,0.89%,1023MiB,0.13%,34.19MiB,1.60%,504.6MiB,8.38%,651.5MiB
2023-11-03 13:21:39.523899,9.24%,362.2MiB,0.50%,471.1MiB,1.22%,1023MiB,0.14%,34.19MiB,1.79%,499.6MiB,7.82%,651.3MiB
2023-11-03 13:21:41.627694,3.44%,362.2MiB,0.54%,471.3MiB,13.35%,1023MiB,0.19%,34.19MiB,3.69%,500.8MiB,17.51%,651.8MiB
2023-11-03 13:21:43.854167,6.37%,362.2MiB,0.87%,471.4MiB,1.00%,1023MiB,0.13%,34.19MiB,1.72%,493.4MiB,9.95%,646.4MiB
2023-11-03 13:21:46.087355,3.65%,362.4MiB,2.00%,470.7MiB,0.89%,1023MiB,0.11%,34.19MiB,1.67%,493.4MiB,7.82%,646.1MiB
2023-11-03 13:21:48.290432,18.97%,362.2MiB,1.68%,471.2MiB,4.16%,1023MiB,0.10%,34.19MiB,2.67%,493.4MiB,80.04%,669.2MiB
2023-11-03 13:21:50.411912,4.37%,362.4MiB,0.44%,471.4MiB,2.40%,1023MiB,0.11%,34.19MiB,3.68%,493.5MiB,16.51%,669.3MiB
2023-11-03 13:21:52.585244,16.64%,362.7MiB,0.00%,470.7MiB,1.02%,1023MiB,0.14%,34.19MiB,1.83%,493.5MiB,9.92%,665.6MiB
2023-11-03 13:21:54.706600,112.12%,375.4MiB,0.30%,470.9MiB,1.67%,1023MiB,0.12%,34.2MiB,1.25%,495.7MiB,8.88%,665.2MiB
2023-11-03 13:21:56.852961,9.60%,375.4MiB,0.65%,471.1MiB,6.39%,1023MiB,0.15%,34.2MiB,5.78%,495.7MiB,13.68%,665.5MiB
2023-11-03 13:21:59.126953,4.69%,372.4MiB,1.64%,470.9MiB,3.27%,1023MiB,0.20%,34.45MiB,1.59%,495.7MiB,7.70%,665.3MiB
2023-11-03 13:22:01.144871,4.81%,372.4MiB,0.22%,471.1MiB,0.85%,1023MiB,0.15%,34.2MiB,1.53%,495.8MiB,14.90%,665.4MiB
2023-11-03 13:22:03.362355,5.08%,372.4MiB,1.35%,471.4MiB,4.77%,1023MiB,0.12%,34.2MiB,2.40%,495.8MiB,7.83%,665.4MiB
2023-11-03 13:22:05.484558,4.59%,372.4MiB,1.33%,470.7MiB,9.48%,1023MiB,0.22%,34.2MiB,6.41%,496MiB,11.42%,665.6MiB
2023-11-03 13:22:07.633477,10.46%,372.7MiB,0.00%,470.8MiB,1.89%,1023MiB,0.14%,34.2MiB,2.30%,496MiB,66.73%,666MiB
2023-11-03 13:22:09.782392,5.40%,363.8MiB,0.25%,471.3MiB,7.65%,1023MiB,0.12%,34.2MiB,1.55%,496MiB,20.53%,661.3MiB
2023-11-03 13:22:11.908839,5.53%,364MiB,0.77%,471.5MiB,2.16%,1023MiB,0.13%,34.2MiB,6.52%,496MiB,10.78%,661.1MiB
2023-11-03 13:22:14.048067,5.37%,363.8MiB,0.85%,470.8MiB,0.83%,1023MiB,0.14%,34.2MiB,1.65%,496MiB,16.29%,661.4MiB
2023-11-03 13:22:16.278779,20.68%,364.1MiB,0.22%,471MiB,19.15%,1023MiB,0.18%,34.2MiB,1.62%,496MiB,10.07%,652.1MiB
2023-11-03 13:22:18.659192,3.79%,363.8MiB,3.80%,470.7MiB,2.56%,1023MiB,0.15%,34.21MiB,1.97%,496MiB,23.59%,652.1MiB
2023-11-03 13:22:20.828453,8.71%,364.1MiB,0.69%,470.8MiB,2.01%,1023MiB,0.23%,34.21MiB,8.25%,496MiB,55.43%,654.1MiB
2023-11-03 13:22:23.049115,3.35%,363.8MiB,0.00%,470.9MiB,0.86%,1023MiB,0.20%,34.21MiB,1.62%,496MiB,9.11%,654.1MiB
2023-11-03 13:22:25.258171,7.61%,364.1MiB,0.00%,471.1MiB,0.49%,1023MiB,0.12%,34.21MiB,1.52%,496.1MiB,6.66%,648.4MiB
2023-11-03 13:22:27.342415,12.72%,363.8MiB,2.45%,471.5MiB,15.19%,1023MiB,0.17%,34.21MiB,1.34%,496.1MiB,7.21%,648.4MiB
2023-11-03 13:22:29.456235,5.09%,364.1MiB,0.65%,471.2MiB,24.16%,1023MiB,0.68%,34.21MiB,4.73%,496.6MiB,7.14%,648.4MiB
2023-11-03 13:22:31.657053,5.85%,364.1MiB,0.24%,471.3MiB,0.74%,1023MiB,0.14%,34.21MiB,3.23%,496.4MiB,17.98%,648.7MiB
2023-11-03 13:22:34.066209,17.78%,363.8MiB,5.60%,470.8MiB,8.41%,1023MiB,0.12%,34.21MiB,5.49%,496.4MiB,79.21%,667.7MiB
2023-11-03 13:22:36.309915,4.97%,363.9MiB,0.74%,471MiB,1.50%,1023MiB,0.17%,34.21MiB,2.81%,496.7MiB,9.15%,671MiB
2023-11-03 13:22:38.462703,4.67%,363.9MiB,1.23%,471.5MiB,1.71%,1023MiB,0.11%,34.21MiB,3.40%,496.7MiB,9.96%,671.3MiB
2023-11-03 13:22:40.564914,4.90%,363.9MiB,0.00%,471.5MiB,0.67%,1023MiB,0.13%,34.21MiB,2.79%,496.7MiB,26.51%,664.6MiB
2023-11-03 13:22:42.701222,3.78%,363.9MiB,0.29%,470.9MiB,2.68%,1023MiB,0.12%,34.21MiB,1.23%,496.9MiB,11.16%,664.7MiB
2023-11-03 13:22:44.947481,47.26%,364.6MiB,0.50%,471.1MiB,2.18%,1023MiB,0.16%,34.21MiB,2.84%,496.9MiB,9.32%,664.7MiB
2023-11-03 13:22:47.025890,38.49%,365.5MiB,2.61%,471.2MiB,3.93%,1023MiB,0.15%,34.47MiB,1.31%,496.9MiB,6.93%,664.5MiB
2023-11-03 13:22:49.115402,6.45%,365.5MiB,2.84%,470.9MiB,6.66%,1023MiB,0.11%,34.22MiB,1.33%,496.9MiB,18.26%,664.4MiB
2023-11-03 13:22:51.409467,5.99%,365.6MiB,0.61%,471.1MiB,1.24%,1023MiB,0.21%,34.22MiB,5.87%,497MiB,27.97%,663.9MiB
2023-11-03 13:22:53.530935,5.20%,365.6MiB,5.34%,471.3MiB,8.07%,1023MiB,0.81%,34.22MiB,2.83%,497MiB,11.26%,664.6MiB
2023-11-03 13:22:55.666285,10.28%,365.7MiB,0.00%,471.4MiB,0.61%,1023MiB,0.11%,34.22MiB,1.19%,497MiB,9.62%,664.9MiB
