time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-04 09:48:25.038690,7.84%,396.9MiB,1.55%,522.3MiB,2.67%,1.008GiB,0.16%,38.42MiB,58.01%,509.9MiB,65.79%,696.7MiB
2023-11-04 09:48:27.265876,98.57%,396.7MiB,0.68%,522.5MiB,4.00%,1.008GiB,0.14%,38.42MiB,2.50%,509.9MiB,42.00%,681.3MiB
2023-11-04 09:48:29.372037,7.19%,396.8MiB,4.44%,522.5MiB,6.66%,1.008GiB,0.15%,38.42MiB,1.54%,510.3MiB,111.98%,713.1MiB
2023-11-04 09:48:31.562508,50.01%,396.8MiB,0.00%,522.4MiB,1.13%,1.008GiB,0.14%,38.42MiB,2.62%,514.5MiB,16.60%,712.9MiB
2023-11-04 09:48:33.748790,26.32%,390.1MiB,0.00%,522.6MiB,5.67%,1.008GiB,0.16%,38.42MiB,3.03%,514.5MiB,21.61%,714.7MiB
2023-11-04 09:48:35.870420,10.98%,390.1MiB,1.08%,522.1MiB,3.45%,1.008GiB,0.20%,38.42MiB,2.11%,514.5MiB,17.03%,709.7MiB
2023-11-04 09:48:38.117460,12.82%,390.4MiB,0.62%,522.2MiB,1.92%,1.008GiB,0.13%,38.42MiB,23.26%,514.6MiB,46.32%,712.2MiB
2023-11-04 09:48:40.213688,21.17%,390.1MiB,1.85%,522.8MiB,6.78%,1.008GiB,0.14%,38.42MiB,1.80%,514.6MiB,41.30%,699.1MiB
2023-11-04 09:48:42.618829,26.97%,390.2MiB,0.87%,522.2MiB,2.79%,1.008GiB,0.23%,38.43MiB,7.06%,505.5MiB,75.78%,700.8MiB
2023-11-04 09:48:44.804300,10.31%,390.2MiB,2.41%,522.5MiB,10.07%,1.008GiB,0.16%,38.43MiB,2.44%,505.5MiB,98.82%,696.9MiB
2023-11-04 09:48:46.904848,16.53%,390.3MiB,0.46%,522.5MiB,0.67%,1.008GiB,0.15%,38.43MiB,1.62%,505.5MiB,70.08%,703.5MiB
2023-11-04 09:48:49.079989,10.36%,390.3MiB,0.00%,522.9MiB,1.10%,1.008GiB,0.13%,38.43MiB,1.79%,505.5MiB,33.77%,706.7MiB
2023-11-04 09:48:51.155068,15.11%,390.6MiB,0.00%,522.6MiB,5.14%,1.008GiB,0.14%,38.43MiB,5.83%,505.6MiB,50.61%,709.1MiB
2023-11-04 09:48:53.292905,10.39%,390.3MiB,1.38%,522.8MiB,2.55%,1.008GiB,0.12%,38.43MiB,1.74%,505.6MiB,20.38%,707.8MiB
2023-11-04 09:48:55.391127,7.26%,390.4MiB,0.79%,523MiB,1.43%,1.008GiB,0.13%,38.43MiB,1.91%,505.6MiB,18.89%,709.8MiB
2023-11-04 09:48:57.531981,16.20%,390.4MiB,0.33%,522.4MiB,1.13%,1.008GiB,0.14%,38.43MiB,2.52%,505.6MiB,12.96%,711.9MiB
2023-11-04 09:48:59.738673,6.69%,390.6MiB,2.52%,523MiB,4.00%,1.008GiB,0.22%,38.44MiB,1.80%,505.6MiB,20.12%,713.2MiB
2023-11-04 09:49:01.834707,6.40%,390.4MiB,0.00%,523MiB,0.96%,1.008GiB,0.14%,38.44MiB,3.77%,505.6MiB,18.56%,715MiB
2023-11-04 09:49:03.969189,37.17%,390.4MiB,0.00%,522.3MiB,0.99%,1.008GiB,0.15%,38.44MiB,4.96%,505.8MiB,216.26%,729.2MiB
2023-11-04 09:49:06.068192,6.58%,390.5MiB,0.66%,522.6MiB,2.63%,1.008GiB,0.20%,38.44MiB,12.41%,505.2MiB,170.94%,730.5MiB
