time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-02 11:19:18.547380,6.52%,369.3MiB,1.66%,517.4MiB,2.10%,1.052GiB,0.12%,35.52MiB,3.42%,474.8MiB,32.44%,606.7MiB
2023-11-02 11:19:20.717434,8.58%,369.1MiB,0.22%,517.6MiB,1.13%,1.052GiB,0.13%,35.52MiB,3.60%,474.7MiB,47.58%,608.4MiB
2023-11-02 11:19:22.927260,12.44%,369.1MiB,1.67%,518.2MiB,6.54%,1.052GiB,0.15%,35.52MiB,3.80%,474.9MiB,35.72%,609.2MiB
2023-11-02 11:19:25.147412,6.38%,369.2MiB,0.30%,518MiB,2.69%,1.052GiB,0.13%,35.53MiB,15.69%,478.1MiB,7.56%,610.1MiB
2023-11-02 11:19:27.337415,4.04%,369.3MiB,1.17%,517.5MiB,5.63%,1.052GiB,0.15%,35.53MiB,1.68%,478.1MiB,13.52%,607.8MiB
2023-11-02 11:19:29.526846,5.79%,369.3MiB,0.00%,518.1MiB,1.68%,1.052GiB,0.23%,35.53MiB,2.15%,478.2MiB,14.41%,608MiB
2023-11-02 11:19:31.696472,7.93%,369.6MiB,1.20%,517.4MiB,5.78%,1.052GiB,0.12%,35.54MiB,1.91%,478.4MiB,11.79%,608.7MiB
2023-11-02 11:19:34.057884,13.78%,369.4MiB,0.00%,517.6MiB,1.04%,1.052GiB,0.11%,35.54MiB,4.33%,478.6MiB,7.92%,614.4MiB
2023-11-02 11:19:36.237314,32.83%,371.1MiB,0.00%,517.8MiB,0.60%,1.052GiB,0.18%,35.54MiB,1.77%,478.6MiB,9.43%,615.3MiB
2023-11-02 11:19:38.431208,4.98%,371.4MiB,2.38%,517.6MiB,2.74%,1.052GiB,0.15%,35.54MiB,2.41%,478.7MiB,12.48%,616MiB
2023-11-02 11:19:40.527249,17.95%,371.2MiB,1.04%,518MiB,9.98%,1.052GiB,0.12%,35.54MiB,5.15%,479MiB,32.01%,616.2MiB
2023-11-02 11:19:42.717645,6.59%,371.3MiB,0.76%,517.9MiB,1.11%,1.052GiB,0.13%,35.54MiB,6.58%,479.1MiB,11.51%,617.2MiB
2023-11-02 11:19:45.027269,9.34%,371.3MiB,0.00%,518.1MiB,0.72%,1.052GiB,0.14%,35.54MiB,1.92%,479.1MiB,9.44%,617.6MiB
2023-11-02 11:19:47.175088,8.42%,371.3MiB,1.27%,517.4MiB,4.30%,1.052GiB,0.15%,35.54MiB,1.88%,479.2MiB,9.67%,618.2MiB
2023-11-02 11:19:49.347133,6.09%,371.3MiB,0.53%,518MiB,14.51%,1.052GiB,0.14%,35.54MiB,6.70%,479.3MiB,17.93%,619.2MiB
2023-11-02 11:19:51.658542,6.51%,371.3MiB,0.00%,518.1MiB,1.83%,1.053GiB,0.13%,35.54MiB,3.33%,479.5MiB,29.86%,627.7MiB
2023-11-02 11:19:53.850741,27.35%,371.7MiB,0.00%,517.5MiB,0.99%,1.053GiB,0.26%,35.54MiB,1.51%,479.6MiB,8.11%,648.8MiB
2023-11-02 11:19:56.065942,6.40%,371.5MiB,0.91%,517.7MiB,8.27%,1.053GiB,0.17%,35.54MiB,1.88%,479.7MiB,10.12%,646.2MiB
2023-11-02 11:19:58.239325,4.63%,371.5MiB,2.39%,517.4MiB,6.87%,1.053GiB,0.15%,35.54MiB,2.81%,479.8MiB,8.20%,647.3MiB
2023-11-02 11:20:00.442817,7.13%,371.5MiB,0.27%,517.6MiB,26.86%,1.053GiB,0.30%,35.55MiB,3.54%,479.9MiB,17.84%,647.9MiB
2023-11-02 11:20:02.577840,7.97%,371.5MiB,1.67%,518MiB,3.12%,1.053GiB,0.13%,35.55MiB,44.09%,487.2MiB,15.50%,648.4MiB
2023-11-02 11:20:04.764278,4.72%,371.6MiB,0.92%,518.1MiB,7.49%,1.053GiB,0.16%,35.55MiB,1.86%,487.3MiB,12.08%,649MiB
2023-11-02 11:20:06.851952,23.91%,371.6MiB,0.00%,518.2MiB,1.11%,1.053GiB,0.13%,35.55MiB,3.21%,484.2MiB,8.32%,649.6MiB
2023-11-02 11:20:09.154063,5.07%,371.6MiB,0.00%,517.9MiB,0.68%,1.053GiB,0.14%,35.55MiB,2.54%,484.2MiB,13.88%,650.4MiB
2023-11-02 11:20:11.260252,6.75%,371.6MiB,0.85%,518.1MiB,8.58%,1.053GiB,0.12%,35.55MiB,4.10%,484.4MiB,21.90%,622.8MiB
2023-11-02 11:20:13.382649,6.58%,371.6MiB,2.00%,517.5MiB,3.84%,1.053GiB,0.16%,35.55MiB,2.73%,484.8MiB,14.46%,623.8MiB
2023-11-02 11:20:15.540656,7.14%,371.6MiB,0.28%,517.6MiB,1.41%,1.053GiB,0.18%,35.55MiB,3.39%,486.7MiB,8.30%,624.2MiB
2023-11-02 11:20:18.013754,11.27%,371.6MiB,1.85%,518.2MiB,1.58%,1.053GiB,0.19%,35.55MiB,1.71%,486.7MiB,7.41%,625MiB
2023-11-02 11:20:20.278787,7.27%,371.7MiB,1.48%,517.5MiB,8.96%,1.053GiB,0.12%,35.55MiB,9.81%,487MiB,10.56%,625.8MiB
2023-11-02 11:20:22.537683,4.83%,376MiB,0.36%,517.6MiB,18.08%,1.053GiB,0.14%,35.55MiB,4.50%,487.2MiB,10.50%,626.4MiB
2023-11-02 11:20:24.728582,6.73%,376MiB,0.00%,517.8MiB,0.81%,1.053GiB,0.16%,35.56MiB,3.11%,487.3MiB,16.76%,627MiB
2023-11-02 11:20:26.924970,4.62%,376.3MiB,0.52%,518.2MiB,7.81%,1.053GiB,0.14%,35.56MiB,4.95%,487.3MiB,32.36%,632.3MiB
2023-11-02 11:20:29.134532,10.56%,376MiB,0.89%,517.9MiB,8.91%,1.053GiB,0.13%,35.56MiB,1.61%,487.4MiB,8.90%,636.5MiB
2023-11-02 11:20:31.266099,5.58%,376MiB,0.00%,518MiB,0.55%,1.053GiB,0.15%,35.56MiB,2.92%,487.6MiB,10.88%,637.5MiB
2023-11-02 11:20:33.443900,9.46%,376.1MiB,2.17%,517.5MiB,2.57%,1.053GiB,0.12%,35.56MiB,2.77%,487.8MiB,13.74%,638.3MiB
2023-11-02 11:20:35.653551,5.78%,376.1MiB,1.00%,517.6MiB,1.68%,1.053GiB,0.23%,35.56MiB,1.63%,487.8MiB,46.26%,644.2MiB
2023-11-02 11:20:37.894919,8.03%,376.1MiB,4.12%,517.4MiB,7.38%,1.054GiB,0.27%,35.56MiB,1.94%,487.9MiB,7.88%,652MiB
2023-11-02 11:20:40.020670,10.69%,370.1MiB,0.00%,517.4MiB,1.80%,1.054GiB,0.13%,35.56MiB,31.47%,493.7MiB,14.13%,652.3MiB
2023-11-02 11:20:42.229549,4.89%,370.3MiB,0.00%,517.6MiB,0.96%,1.054GiB,0.18%,35.57MiB,4.22%,502.1MiB,48.40%,643MiB
2023-11-02 11:20:44.481292,12.18%,370.1MiB,0.27%,517.8MiB,1.23%,1.054GiB,0.15%,35.57MiB,1.50%,496MiB,17.99%,652.3MiB
2023-11-02 11:20:46.560229,59.15%,373MiB,0.51%,518MiB,2.84%,1.054GiB,0.15%,35.57MiB,5.69%,496MiB,13.08%,646.7MiB
2023-11-02 11:20:48.665700,38.67%,373MiB,0.00%,517.6MiB,0.56%,1.054GiB,0.13%,35.57MiB,3.25%,496.3MiB,9.22%,647MiB
2023-11-02 11:20:50.979089,17.79%,373.1MiB,0.36%,517.8MiB,1.26%,1.054GiB,0.14%,35.57MiB,82.50%,501.6MiB,19.92%,647.8MiB
2023-11-02 11:20:53.114966,3.60%,373.1MiB,1.68%,518.1MiB,17.05%,1.054GiB,0.17%,35.57MiB,1.72%,491.1MiB,12.06%,635.6MiB
2023-11-02 11:20:55.256550,62.19%,374MiB,0.35%,518.1MiB,7.90%,1.054GiB,0.12%,35.57MiB,2.55%,491.1MiB,34.25%,639.3MiB
2023-11-02 11:20:57.481280,6.71%,373.6MiB,0.38%,517.6MiB,0.83%,1.054GiB,0.15%,35.57MiB,1.97%,491.1MiB,7.60%,640.9MiB
2023-11-02 11:20:59.651073,5.17%,373.6MiB,1.30%,518.2MiB,1.33%,1.054GiB,0.24%,35.58MiB,1.60%,491.2MiB,10.25%,641.8MiB
2023-11-02 11:21:01.895470,9.29%,373.6MiB,0.54%,517.5MiB,2.47%,1.054GiB,0.14%,35.58MiB,1.73%,491.4MiB,6.88%,642.3MiB
2023-11-02 11:21:04.159655,6.00%,373.8MiB,0.00%,517.7MiB,0.72%,1.054GiB,0.13%,35.58MiB,2.47%,491.6MiB,9.92%,643MiB
2023-11-02 11:21:06.341210,6.67%,373.6MiB,0.00%,517.9MiB,0.52%,1.054GiB,0.22%,35.58MiB,1.62%,491.6MiB,8.43%,643.6MiB
2023-11-02 11:21:08.539253,5.86%,373.9MiB,3.12%,517.6MiB,63.38%,1.054GiB,0.16%,35.58MiB,1.75%,491.6MiB,58.07%,648.8MiB
2023-11-02 11:21:10.684012,5.07%,373.6MiB,0.71%,517.8MiB,4.02%,1.054GiB,0.15%,35.58MiB,5.66%,491.8MiB,107.03%,661.5MiB
2023-11-02 11:21:12.922700,5.46%,373.6MiB,2.96%,518MiB,1.53%,1.054GiB,0.14%,35.58MiB,7.30%,492.1MiB,9.52%,661.2MiB
2023-11-02 11:21:15.269033,5.81%,373.6MiB,0.51%,518.6MiB,5.76%,1.054GiB,0.16%,35.58MiB,2.11%,492.1MiB,13.25%,676.6MiB
2023-11-02 11:21:17.371864,3.67%,373.6MiB,1.34%,517.5MiB,4.02%,1.054GiB,0.15%,35.58MiB,1.67%,492.2MiB,17.34%,677.1MiB
2023-11-02 11:21:19.616162,5.06%,373.6MiB,1.26%,518MiB,2.73%,1.054GiB,0.13%,35.59MiB,1.56%,492.2MiB,6.62%,676.6MiB
2023-11-02 11:21:21.900557,5.16%,373.6MiB,0.00%,518.1MiB,1.19%,1.054GiB,0.14%,35.59MiB,3.40%,492.5MiB,10.20%,676.6MiB
2023-11-02 11:21:24.157375,13.87%,373.9MiB,0.00%,517.5MiB,0.68%,1.054GiB,0.19%,35.59MiB,1.72%,492.6MiB,9.29%,676.6MiB
2023-11-02 11:21:26.315059,5.44%,373.9MiB,1.31%,518.5MiB,3.23%,1.054GiB,0.24%,35.59MiB,1.87%,491.9MiB,19.09%,676.7MiB
2023-11-02 11:21:28.547998,7.55%,373.9MiB,3.05%,518.2MiB,13.64%,1.054GiB,0.14%,35.59MiB,2.05%,491.9MiB,14.18%,676.6MiB
2023-11-02 11:21:30.682311,8.31%,373.7MiB,1.55%,518.4MiB,4.38%,1.055GiB,0.11%,35.59MiB,3.39%,481.3MiB,14.37%,676.7MiB
2023-11-02 11:21:32.873183,4.77%,373.9MiB,2.88%,517.9MiB,10.30%,1.055GiB,0.12%,35.59MiB,3.79%,481.4MiB,15.47%,676.7MiB
2023-11-02 11:21:34.968891,5.23%,373.7MiB,1.97%,518.1MiB,4.01%,1.055GiB,0.14%,35.59MiB,1.49%,481.5MiB,7.06%,657.6MiB
2023-11-02 11:21:37.216319,9.30%,373.7MiB,0.00%,518.1MiB,1.16%,1.055GiB,0.15%,35.59MiB,2.64%,481.5MiB,11.04%,657.6MiB
2023-11-02 11:21:39.485377,14.34%,373.7MiB,0.00%,518MiB,0.64%,1.055GiB,0.15%,35.59MiB,7.82%,484MiB,5.54%,658.1MiB
2023-11-02 11:21:41.926244,11.54%,373.7MiB,0.20%,518.2MiB,1.80%,1.055GiB,0.22%,35.59MiB,1.63%,488.6MiB,6.70%,657.6MiB
2023-11-02 11:21:44.285589,4.45%,373.7MiB,0.57%,518.5MiB,3.20%,1.055GiB,0.14%,35.59MiB,1.53%,488.8MiB,7.23%,658.3MiB
2023-11-02 11:21:46.535850,5.52%,373.7MiB,0.34%,518.6MiB,1.72%,1.055GiB,0.12%,35.59MiB,2.04%,488.8MiB,9.00%,658.3MiB
2023-11-02 11:21:48.771686,6.16%,373.7MiB,1.16%,518.3MiB,1.78%,1.055GiB,0.14%,35.6MiB,3.25%,488.9MiB,8.41%,658.6MiB
2023-11-02 11:21:50.863385,6.68%,373.8MiB,0.59%,518.5MiB,1.92%,1.055GiB,0.28%,35.6MiB,1.53%,489.2MiB,8.66%,658.4MiB
2023-11-02 11:21:52.988638,10.83%,373.8MiB,7.45%,518.8MiB,5.66%,1.055GiB,0.13%,35.6MiB,2.80%,489.4MiB,29.02%,658.5MiB
2023-11-02 11:21:55.308157,5.98%,373.8MiB,0.32%,519.1MiB,27.25%,1.055GiB,0.14%,35.6MiB,2.84%,489.4MiB,68.05%,669.2MiB
2023-11-02 11:21:57.534622,5.17%,373.8MiB,0.00%,518.4MiB,2.08%,1.055GiB,0.16%,35.6MiB,5.71%,489.9MiB,14.68%,665.5MiB
2023-11-02 11:21:59.672370,6.67%,373.8MiB,0.30%,519MiB,1.04%,1.055GiB,0.21%,35.61MiB,1.48%,489.6MiB,21.72%,665.7MiB
2023-11-02 11:22:01.859346,3.55%,373.8MiB,0.59%,519.1MiB,2.78%,1.055GiB,0.14%,35.61MiB,1.49%,489.9MiB,23.10%,665.6MiB
2023-11-02 11:22:04.130945,19.41%,373.9MiB,0.00%,518.7MiB,0.66%,1.055GiB,0.13%,35.61MiB,2.49%,490MiB,10.54%,660.7MiB
2023-11-02 11:22:06.278624,55.17%,384.2MiB,0.35%,518.9MiB,1.49%,1.055GiB,0.74%,35.61MiB,3.51%,491.6MiB,35.64%,660.9MiB
2023-11-02 11:22:08.384933,4.41%,384.2MiB,3.37%,518.6MiB,3.80%,1.055GiB,0.19%,35.61MiB,1.58%,491.6MiB,15.87%,661.1MiB
2023-11-02 11:22:10.576730,10.11%,380.1MiB,0.61%,518.7MiB,12.48%,1.055GiB,0.15%,35.61MiB,2.89%,491.8MiB,11.45%,662.1MiB
2023-11-02 11:22:12.860517,13.20%,380.1MiB,0.91%,518.9MiB,1.63%,1.055GiB,0.11%,35.61MiB,6.43%,492.2MiB,91.98%,677.3MiB
2023-11-02 11:22:15.036981,7.81%,380.4MiB,0.70%,519MiB,1.04%,1.055GiB,0.21%,35.61MiB,1.96%,492MiB,6.66%,677.4MiB
2023-11-02 11:22:17.253357,14.64%,372.7MiB,0.50%,519.2MiB,2.24%,1.055GiB,0.17%,35.61MiB,1.56%,492.1MiB,18.78%,676.8MiB
2023-11-02 11:22:19.494860,5.77%,374.6MiB,0.33%,518.9MiB,1.23%,1.055GiB,0.16%,35.62MiB,2.89%,492.1MiB,10.54%,676.6MiB
2023-11-02 11:22:21.745770,7.97%,374.7MiB,0.00%,519MiB,10.32%,1.055GiB,0.17%,35.62MiB,6.45%,492.4MiB,11.56%,676.6MiB
2023-11-02 11:22:23.927306,9.59%,374.9MiB,0.24%,519.3MiB,0.86%,1.055GiB,0.20%,35.62MiB,1.80%,492.5MiB,9.16%,666.8MiB
2023-11-02 11:22:26.155156,31.83%,374.7MiB,0.88%,519.5MiB,11.59%,1.055GiB,0.13%,35.62MiB,1.53%,492.5MiB,7.74%,666.6MiB
2023-11-02 11:22:28.419241,4.72%,374.7MiB,1.49%,519.3MiB,1.86%,1.056GiB,0.11%,35.62MiB,2.54%,492.8MiB,70.67%,682.1MiB
2023-11-02 11:22:30.559252,4.89%,374.7MiB,3.08%,519.5MiB,1.07%,1.056GiB,0.24%,35.62MiB,3.94%,492.9MiB,10.31%,682.5MiB
2023-11-02 11:22:32.694575,47.31%,374.8MiB,1.54%,519.1MiB,11.69%,1.056GiB,0.13%,35.62MiB,3.82%,490.6MiB,16.46%,682.6MiB
2023-11-02 11:22:34.953732,5.93%,374.8MiB,0.62%,519.3MiB,4.79%,1.056GiB,0.12%,35.62MiB,1.67%,490.7MiB,8.98%,682.6MiB
2023-11-02 11:22:37.205494,5.61%,374.8MiB,0.00%,519.3MiB,1.56%,1.056GiB,0.12%,35.62MiB,3.17%,491MiB,7.23%,682.6MiB
2023-11-02 11:22:39.470453,8.50%,374.9MiB,0.00%,519.1MiB,0.78%,1.056GiB,0.15%,35.62MiB,2.75%,491.5MiB,14.93%,682.7MiB
2023-11-02 11:22:41.628042,4.39%,375.1MiB,0.24%,519.3MiB,1.26%,1.056GiB,0.14%,35.62MiB,1.62%,491.4MiB,19.00%,674.8MiB
2023-11-02 11:22:43.840885,9.06%,374.9MiB,0.72%,519.5MiB,10.70%,1.056GiB,0.13%,35.63MiB,1.86%,491.6MiB,11.02%,672.2MiB
2023-11-02 11:22:46.259589,5.78%,375.1MiB,0.61%,519.6MiB,1.07%,1.056GiB,0.10%,35.63MiB,3.56%,491.7MiB,9.41%,672.7MiB
2023-11-02 11:22:48.547654,4.23%,374.9MiB,6.69%,519.4MiB,3.62%,1.056GiB,0.17%,35.63MiB,2.95%,491.8MiB,34.73%,664.6MiB
2023-11-02 11:22:50.757377,4.11%,375.1MiB,0.64%,519.6MiB,1.58%,1.056GiB,0.12%,35.63MiB,2.82%,492MiB,17.60%,664.4MiB
2023-11-02 11:22:52.871928,3.87%,374.9MiB,1.52%,519.8MiB,1.98%,1.056GiB,0.16%,35.63MiB,6.56%,488.1MiB,11.39%,664.4MiB
2023-11-02 11:22:55.081245,4.50%,374.9MiB,0.00%,519.8MiB,0.60%,1.056GiB,0.12%,35.63MiB,3.60%,488.2MiB,21.15%,664.4MiB
2023-11-02 11:22:57.373753,13.70%,374.9MiB,0.34%,519.5MiB,7.10%,1.056GiB,0.13%,35.63MiB,1.50%,488.2MiB,10.25%,664.4MiB
2023-11-02 11:22:59.565749,9.21%,375MiB,0.29%,520.1MiB,1.33%,1.056GiB,0.13%,35.63MiB,1.56%,488.2MiB,16.64%,662.8MiB
2023-11-02 11:23:01.765796,3.40%,375MiB,1.10%,519.4MiB,2.05%,1.056GiB,0.11%,35.64MiB,1.55%,488.5MiB,39.24%,667.3MiB
2023-11-02 11:23:03.975155,40.78%,377MiB,0.00%,519.6MiB,4.28%,1.056GiB,0.30%,35.64MiB,1.99%,488.6MiB,9.85%,664.5MiB
2023-11-02 11:23:06.123512,3.84%,376.2MiB,0.42%,519.8MiB,1.17%,1.056GiB,0.19%,35.64MiB,1.62%,488.6MiB,19.44%,664.5MiB
2023-11-02 11:23:08.374018,4.15%,376.3MiB,1.96%,519.6MiB,3.24%,1.056GiB,0.10%,35.64MiB,1.43%,488.7MiB,10.22%,665MiB
2023-11-02 11:23:10.652611,24.53%,376.5MiB,1.47%,520MiB,5.76%,1.056GiB,0.14%,35.64MiB,3.45%,488.9MiB,30.64%,667.1MiB
2023-11-02 11:23:12.728039,4.87%,376.3MiB,0.70%,519.8MiB,1.09%,1.056GiB,0.25%,35.64MiB,4.29%,489MiB,6.82%,665.6MiB
2023-11-02 11:23:14.896723,4.34%,376.3MiB,0.25%,520MiB,0.92%,1.056GiB,0.15%,35.64MiB,1.47%,489MiB,7.88%,665.8MiB
2023-11-02 11:23:17.128148,4.95%,376.5MiB,0.41%,520.2MiB,4.54%,1.056GiB,0.13%,35.64MiB,1.64%,489.1MiB,14.16%,665.6MiB
