time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-02 16:07:33.852479,6.46%,353MiB,1.60%,522.2MiB,1.48%,1.008GiB,0.95%,34.49MiB,1.24%,472.5MiB,13.77%,650.6MiB
2023-11-02 16:07:36.017066,4.35%,353MiB,1.35%,522.5MiB,17.74%,1.008GiB,0.11%,34.49MiB,1.40%,472.6MiB,15.04%,650MiB
2023-11-02 16:07:38.246976,8.17%,352.9MiB,1.32%,522.7MiB,4.39%,1.008GiB,0.10%,34.49MiB,2.65%,472.8MiB,16.21%,650.1MiB
2023-11-02 16:07:40.456317,12.83%,353.1MiB,0.36%,522.8MiB,0.49%,1.008GiB,0.09%,34.49MiB,1.54%,472.8MiB,9.69%,650.2MiB
2023-11-02 16:07:42.643468,30.78%,353.8MiB,0.00%,522.5MiB,1.07%,1.008GiB,0.08%,34.49MiB,1.41%,472.8MiB,7.84%,650.2MiB
2023-11-02 16:07:44.805096,18.42%,354MiB,0.00%,522.7MiB,2.54%,1.008GiB,0.13%,34.49MiB,7.82%,472.9MiB,13.00%,650.3MiB
2023-11-02 16:07:46.995235,9.41%,353.8MiB,1.01%,522.1MiB,28.92%,1.008GiB,0.12%,34.49MiB,1.52%,472.9MiB,9.51%,650.3MiB
2023-11-02 16:07:49.068938,6.05%,353.9MiB,0.19%,522.2MiB,0.84%,1.008GiB,0.28%,34.5MiB,1.29%,473.2MiB,12.12%,650.4MiB
2023-11-02 16:07:51.271090,4.21%,354.1MiB,2.41%,522.7MiB,1.57%,1.008GiB,0.12%,34.5MiB,1.53%,473.2MiB,8.99%,650.5MiB
2023-11-02 16:07:53.528249,6.86%,354.1MiB,3.02%,522.1MiB,31.50%,1.008GiB,0.14%,34.5MiB,1.36%,473.2MiB,16.75%,643.6MiB
2023-11-02 16:07:55.742923,7.85%,354.3MiB,1.09%,522.3MiB,4.41%,1.008GiB,0.22%,34.5MiB,6.98%,473.3MiB,13.94%,643.8MiB
2023-11-02 16:07:58.014712,10.28%,354.1MiB,0.40%,522.4MiB,1.42%,1.008GiB,0.12%,34.5MiB,4.11%,473.5MiB,16.62%,644.1MiB
2023-11-02 16:08:00.157205,4.86%,354.1MiB,0.00%,522.6MiB,0.50%,1.008GiB,0.10%,34.5MiB,1.13%,473.5MiB,7.83%,643.9MiB
2023-11-02 16:08:02.317072,8.38%,354.1MiB,1.34%,522.4MiB,5.47%,1.008GiB,0.12%,34.5MiB,1.31%,473.5MiB,55.18%,680.2MiB
2023-11-02 16:08:04.537998,6.28%,354.1MiB,0.00%,522.5MiB,0.51%,1.008GiB,0.09%,34.5MiB,1.43%,473.5MiB,5.78%,666.5MiB
2023-11-02 16:08:06.768720,4.60%,354.1MiB,0.00%,522.8MiB,0.99%,1.008GiB,0.10%,34.5MiB,1.13%,473.7MiB,9.39%,666.5MiB
2023-11-02 16:08:08.982140,8.93%,354.3MiB,0.59%,522.2MiB,0.93%,1.008GiB,0.13%,34.5MiB,1.18%,473.9MiB,13.03%,666.6MiB
2023-11-02 16:08:11.151427,3.67%,354.1MiB,3.23%,522.7MiB,3.98%,1.008GiB,0.11%,34.5MiB,1.10%,473.9MiB,10.37%,666.7MiB
2023-11-02 16:08:13.386471,5.39%,354.1MiB,1.31%,522.8MiB,1.08%,1.008GiB,0.17%,34.51MiB,1.34%,473.9MiB,7.86%,666.7MiB
2023-11-02 16:08:15.790875,10.23%,354.4MiB,0.27%,522.1MiB,3.21%,1.008GiB,0.12%,34.51MiB,3.20%,474.1MiB,10.89%,666.8MiB
2023-11-02 16:08:17.853485,36.92%,365.4MiB,0.00%,522.3MiB,1.20%,1.008GiB,0.15%,34.51MiB,3.31%,474.2MiB,14.67%,667.1MiB
2023-11-02 16:08:20.078134,14.01%,355.9MiB,0.67%,522.6MiB,10.10%,1.008GiB,0.11%,34.51MiB,1.43%,474.2MiB,18.72%,660.5MiB
2023-11-02 16:08:22.326380,4.89%,356MiB,0.00%,522.1MiB,0.93%,1.008GiB,0.12%,34.51MiB,1.28%,474.2MiB,6.96%,660.6MiB
2023-11-02 16:08:24.516238,6.85%,356MiB,0.00%,522.3MiB,0.53%,1.008GiB,0.12%,34.51MiB,1.28%,474.2MiB,7.25%,660.8MiB
