time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-02 12:54:38.250972,36.32%,378.5MiB,0.87%,483.2MiB,15.98%,996MiB,0.10%,35MiB,1.98%,457.5MiB,12.75%,593.1MiB
2023-11-02 12:54:40.408666,7.31%,378.5MiB,0.29%,483.2MiB,1.25%,996MiB,0.15%,35MiB,8.34%,457.5MiB,9.89%,599.4MiB
2023-11-02 12:54:42.554615,5.11%,378.8MiB,2.02%,483.8MiB,2.56%,996MiB,0.20%,35.01MiB,1.54%,457.5MiB,10.49%,600.2MiB
2023-11-02 12:54:44.736186,9.17%,378.6MiB,0.81%,483.2MiB,9.93%,996MiB,0.15%,35.01MiB,5.36%,457.6MiB,26.63%,601.2MiB
2023-11-02 12:54:46.965438,4.81%,378.8MiB,0.62%,483.4MiB,5.68%,996.2MiB,0.33%,35.02MiB,4.04%,457.7MiB,12.10%,602MiB
2023-11-02 12:54:49.206926,4.95%,378.8MiB,0.00%,483.5MiB,0.92%,996.2MiB,0.11%,35.02MiB,2.48%,457.7MiB,12.95%,602.4MiB
2023-11-02 12:54:51.385994,9.34%,378.8MiB,0.00%,483.9MiB,0.79%,996.2MiB,0.15%,35.02MiB,1.52%,457.7MiB,9.19%,603.1MiB
2023-11-02 12:54:53.502027,5.86%,378.8MiB,0.76%,483.8MiB,3.88%,996.2MiB,0.22%,35.02MiB,1.53%,457.7MiB,10.32%,603.3MiB
2023-11-02 12:54:55.652720,9.79%,378.8MiB,0.87%,483.9MiB,0.81%,996.5MiB,0.11%,35.02MiB,17.63%,455.5MiB,10.41%,604MiB
2023-11-02 12:54:57.793143,10.22%,378.9MiB,1.52%,483.4MiB,2.01%,996.2MiB,0.14%,35.02MiB,4.35%,455.7MiB,25.36%,608.2MiB
2023-11-02 12:55:00.086976,4.09%,378.9MiB,0.24%,483.6MiB,1.46%,996.3MiB,0.12%,35.02MiB,4.61%,455.5MiB,15.89%,608.6MiB
2023-11-02 12:55:02.356143,8.01%,379MiB,2.78%,483.4MiB,5.28%,996.4MiB,0.11%,35.02MiB,1.94%,455.5MiB,9.41%,609.2MiB
2023-11-02 12:55:04.468851,8.29%,379MiB,0.00%,483.4MiB,1.13%,996.4MiB,0.13%,35.02MiB,5.64%,455.6MiB,18.50%,610.1MiB
2023-11-02 12:55:06.864283,34.84%,379MiB,0.00%,483.6MiB,0.67%,996.4MiB,0.17%,35.03MiB,2.82%,455.6MiB,12.18%,610.9MiB
2023-11-02 12:55:08.988483,4.30%,379MiB,0.00%,483.8MiB,0.59%,996.5MiB,0.13%,35.03MiB,1.74%,455.6MiB,11.28%,612.3MiB
2023-11-02 12:55:11.170534,8.76%,379.1MiB,0.80%,484MiB,3.26%,996.5MiB,0.27%,35.03MiB,1.89%,455.7MiB,12.24%,612MiB
2023-11-02 12:55:13.490942,12.19%,379.2MiB,0.00%,483.6MiB,2.10%,996.5MiB,0.13%,35.03MiB,5.58%,455.7MiB,96.34%,638.9MiB
2023-11-02 12:55:15.907124,20.79%,379.2MiB,0.00%,483.8MiB,0.83%,996.7MiB,0.15%,35.03MiB,4.02%,455.7MiB,7.67%,639.5MiB
2023-11-02 12:55:18.061622,6.60%,379.2MiB,1.14%,484.1MiB,25.24%,996.7MiB,0.14%,35.03MiB,1.54%,455.7MiB,6.64%,639.2MiB
2023-11-02 12:55:20.393094,5.05%,379.3MiB,1.74%,483.6MiB,11.19%,996.8MiB,0.14%,35.03MiB,3.74%,455.8MiB,9.02%,640MiB
2023-11-02 12:55:22.719075,5.33%,379.3MiB,1.37%,484.1MiB,2.35%,997MiB,0.55%,35.04MiB,3.20%,455.8MiB,14.06%,640.9MiB
2023-11-02 12:55:24.857763,5.84%,379.3MiB,0.23%,483.4MiB,1.28%,997.1MiB,0.14%,35.04MiB,4.78%,455.9MiB,13.43%,641.9MiB
2023-11-02 12:55:27.128028,42.13%,381.2MiB,1.21%,483.7MiB,3.25%,997.3MiB,0.13%,35.04MiB,1.73%,455.9MiB,10.11%,642.3MiB
2023-11-02 12:55:29.297929,5.22%,381.2MiB,0.76%,483.9MiB,3.49%,997.3MiB,0.22%,35.04MiB,2.52%,455.9MiB,8.58%,643MiB
2023-11-02 12:55:31.467463,4.29%,381.2MiB,0.00%,483.9MiB,0.76%,997.3MiB,0.18%,35.04MiB,2.90%,456MiB,11.64%,644MiB
2023-11-02 12:55:33.659583,9.47%,381.2MiB,0.00%,483.7MiB,0.81%,997.3MiB,0.14%,35.04MiB,1.99%,456MiB,11.99%,622.4MiB
2023-11-02 12:55:35.848226,5.68%,381.2MiB,2.63%,483.9MiB,9.78%,997.3MiB,0.13%,35.04MiB,1.77%,456MiB,7.55%,623.1MiB
2023-11-02 12:55:38.014888,33.99%,381.3MiB,1.73%,484.2MiB,3.69%,997.3MiB,0.15%,35.04MiB,1.67%,456MiB,7.17%,623.9MiB
2023-11-02 12:55:40.192725,4.72%,393.6MiB,0.68%,483.4MiB,1.02%,997.3MiB,0.10%,35.04MiB,4.22%,456MiB,43.29%,637.3MiB
2023-11-02 12:55:42.464751,7.89%,389.2MiB,1.37%,483.9MiB,10.22%,997.3MiB,0.16%,35.05MiB,1.84%,456MiB,13.75%,637.4MiB
2023-11-02 12:55:44.723485,45.94%,389.3MiB,0.63%,484.1MiB,8.78%,997.4MiB,0.19%,35.05MiB,4.07%,456.4MiB,11.09%,637.1MiB
2023-11-02 12:55:46.912133,4.95%,389.3MiB,1.28%,483.4MiB,5.91%,997.5MiB,0.21%,35.05MiB,3.74%,456.4MiB,10.34%,637.2MiB
2023-11-02 12:55:49.080151,8.03%,389.3MiB,0.00%,483.6MiB,0.70%,997.5MiB,0.18%,35.05MiB,8.46%,456.7MiB,34.05%,637.3MiB
2023-11-02 12:55:51.282310,7.71%,389.3MiB,3.13%,483.9MiB,10.10%,997.6MiB,0.15%,35.05MiB,3.49%,456.5MiB,11.07%,637.4MiB
2023-11-02 12:55:53.485919,4.71%,389.3MiB,0.80%,483.7MiB,3.53%,997.6MiB,0.22%,35.05MiB,1.61%,452.9MiB,11.83%,637.4MiB
2023-11-02 12:55:55.687201,6.90%,389.3MiB,1.05%,483.8MiB,0.63%,997.6MiB,0.16%,35.05MiB,3.46%,452.9MiB,9.54%,637.4MiB
2023-11-02 12:55:57.917275,4.27%,389.3MiB,0.80%,484MiB,4.60%,997.6MiB,0.14%,35.05MiB,2.73%,452.9MiB,6.54%,632.4MiB
2023-11-02 12:56:00.059363,11.75%,389.8MiB,3.74%,483.4MiB,1.99%,997.6MiB,0.12%,35.05MiB,2.87%,452.9MiB,14.00%,627.2MiB
2023-11-02 12:56:02.350927,5.76%,389.6MiB,2.74%,484MiB,5.59%,997.6MiB,0.12%,35.05MiB,1.46%,452.9MiB,55.07%,642.1MiB
2023-11-02 12:56:04.643762,21.02%,389.4MiB,0.00%,484MiB,1.18%,997.6MiB,0.20%,35.05MiB,2.33%,452.9MiB,22.01%,652.5MiB
2023-11-02 12:56:06.884100,7.99%,389.4MiB,0.00%,484.2MiB,0.53%,997.7MiB,0.15%,35.05MiB,1.89%,452.9MiB,11.64%,649.3MiB
2023-11-02 12:56:09.089217,3.37%,389.4MiB,0.00%,483.6MiB,0.52%,997.7MiB,0.11%,35.05MiB,1.40%,452.9MiB,7.02%,649.3MiB
2023-11-02 12:56:11.263149,8.50%,389.7MiB,0.90%,483.8MiB,3.56%,997.7MiB,0.13%,35.06MiB,1.19%,452.9MiB,6.03%,649.5MiB
2023-11-02 12:56:13.341453,3.10%,389.4MiB,0.00%,484.2MiB,0.61%,997.7MiB,0.13%,35.06MiB,3.66%,454.1MiB,9.21%,640.9MiB
2023-11-02 12:56:15.454765,5.68%,389.4MiB,0.29%,483.6MiB,1.89%,997.8MiB,0.15%,35.06MiB,2.32%,454.2MiB,59.36%,645.4MiB
