00:00:00.000,4128.256,4106.103, 600.854, 571.814,
00:00:00.100,4128.519,4105.863, 599.999, 570.717,
00:00:00.200,4128.703,4106.101, 599.008, 569.069,
00:00:00.300,4127.941,4105.767, 597.614, 567.549,
00:00:00.400,4128.125,4105.742, 596.244, 566.444,
00:00:00.500,4128.020,4105.466, 595.995, 565.722,
00:00:00.600,4128.058,4105.860, 595.818, 566.438,
00:00:00.700,4128.048,4105.574, 598.141, 568.053,
00:00:00.800,4128.146,4105.914, 598.742, 569.851,
00:00:00.900,4128.286,4105.885, 600.882, 572.248,
00:00:01.000,4128.492,4105.844, 602.777, 574.106,
00:00:01.100,4128.745,4106.133, 603.864, 574.900,
00:00:01.200,4128.864,4106.071, 603.720, 574.402,
00:00:01.300,4128.486,4106.021, 602.557, 571.408,
00:00:01.400,4128.359,4105.998, 599.632, 568.931,
00:00:01.500,4128.065,4106.103, 596.678, 566.550,
00:00:01.600,4127.745,4105.575, 594.805, 564.960,
00:00:01.700,4127.879,4105.807, 593.427, 564.235,
00:00:01.800,4127.977,4105.624, 594.161, 565.902,
00:00:01.900,4127.872,4106.031, 596.320, 567.900,
00:00:02.000,4128.276,4105.850, 599.205, 571.337,
00:00:02.100,4128.170,4106.232, 602.309, 574.408,
00:00:02.200,4128.455,4106.393, 605.484, 575.483,
00:00:02.300,4128.708,4106.847, 605.594, 575.666,
00:00:02.400,4128.742,4106.544, 605.230, 573.653,
00:00:02.500,4128.909,4106.287, 602.633, 570.789,
00:00:02.600,4128.563,4106.167, 598.932, 567.682,
00:00:02.700,4127.917,4105.816, 595.759, 565.142,
00:00:02.800,4127.900,4105.526, 593.993, 563.492,
00:00:02.900,4127.689,4105.182, 592.420, 564.229,
00:00:03.000,4127.863,4105.666, 593.502, 565.852,
00:00:03.100,4128.043,4105.943, 595.930, 568.253,
00:00:03.200,4128.269,4106.089, 598.801, 571.457,
00:00:03.300,4128.541,4106.104, 602.446, 573.699,
00:00:03.400,4128.609,4106.093, 604.864, 574.468,
00:00:03.500,4128.854,4105.790, 606.057, 574.812,
00:00:03.600,4129.011,4106.408, 605.703, 573.168,
